DateTime,close,vol
2017-04-07,20.8,313906
2017-04-10,20.6,274599
2017-04-11,20.7,458860
2017-04-12,21.02,645855
2017-04-13,20.94,269101
2017-04-14,20.64,218505
2017-04-17,20.56,163623
2017-04-18,20.47,135988
2017-04-19,20.53,196327
2017-04-20,20.63,248213
2017-04-21,20.68,208444
2017-04-24,20.43,180092
2017-04-25,20.55,136163
2017-04-26,20.36,186192
2017-04-27,19.76,519118
2017-04-28,19.5,357431
2017-05-02,19.2,184423
2017-05-03,18.86,269266
2017-05-04,19.02,178467
2017-05-05,18.89,116550
2017-05-08,18.47,183996
2017-05-09,18.62,123564
2017-05-10,18.67,156075
2017-05-11,19.24,347254
2017-05-12,19.4,222193
2017-05-15,19.34,122093
2017-05-16,19.23,189232
2017-05-17,19.14,139247
2017-05-18,19.04,104260
2017-05-19,19.17,102373
2017-05-22,19.07,147292
2017-05-23,19.23,202716
2017-05-24,19.19,189289
2017-05-25,20.5,896979
2017-05-26,20.55,400658
2017-05-31,21.26,682330
2017-06-01,21.09,266365
2017-06-02,20.95,235397
2017-06-05,21.1,285544
2017-06-06,20.87,492775
2017-06-12,21.7,944276
2017-06-13,22,471001
2017-06-14,21.35,370107
2017-06-15,21.04,233208
2017-06-16,20.94,139298
2017-06-19,20.98,118915
2017-06-20,21.03,236755
2017-06-21,21.04,194542
2017-06-22,21.88,715929
2017-06-23,24.07,1251186
2017-06-26,26.48,1711182
2017-06-27,25.54,1198380
2017-06-28,25,946320
2017-06-29,25.16,706958
2017-06-30,24.97,595614
2017-07-03,24.57,452937
2017-07-04,23.86,740518
2017-07-05,24.54,747827
2017-07-06,24.22,474769
2017-07-07,24.66,583982
2017-07-10,24.43,609251
2017-07-11,24.75,475520
2017-07-12,25.46,996895
2017-07-13,24.43,833370
2017-07-14,24.59,201797
2017-07-18,25.3,791833
2017-07-19,25.14,1008070
2017-07-20,25.35,633677
2017-07-21,24.78,477662
2017-07-24,23.8,835260
2017-07-25,23.26,362654
2017-07-26,23.42,307159
2017-07-27,23,426351
2017-07-28,23.63,412507
2017-07-31,23.37,309424
2017-08-01,23.42,209522
2017-08-02,23.58,353910
2017-08-03,23.11,455189
2017-08-04,22.84,296123
2017-08-07,22.71,234091
2017-08-08,22.77,191585
2017-08-09,22.95,244983
2017-08-10,22.8,239302
2017-08-11,22.02,344130
2017-08-14,21.95,400870
2017-08-15,22.02,247722
2017-08-16,21.86,229564
2017-08-17,21.92,197748
2017-08-18,22.82,552724
2017-08-21,22.62,287832
2017-08-22,23.21,504123
2017-08-23,23.24,222221
2017-08-24,23.09,180488
2017-08-25,23.2,483898
2017-08-28,24.01,898477
2017-08-29,23.36,436613
2017-08-30,23.24,337202
2017-08-31,23.23,298893
2017-09-01,22.88,407080
2017-09-04,22.96,268283

