DateTime,000016.SH,600000.SH
2017/1/3,2307.8917,16.3
2017/1/4,2322.2059,16.33
2017/1/5,2322.6843,16.3
2017/1/6,2308.9363,16.18
2017/1/9,2318.3365,16.2
2017/1/10,2312.5985,16.19
2017/1/11,2300.4749,16.16
2017/1/12,2295.4033,16.12
2017/1/13,2308.0552,16.27
2017/1/16,2337.3944,16.56
2017/1/17,2329.595,16.4
2017/1/18,2342.7751,16.48
2017/1/19,2334.9572,16.54
2017/1/20,2347.1829,16.6
2017/1/23,2347.1047,16.57
2017/1/24,2352.4242,16.69
2017/1/25,2358.6974,16.69
2017/1/26,2364.0244,16.74
2017/2/3,2339.9894,16.63
2017/2/6,2343.9673,16.66
2017/2/7,2337.5346,16.67
2017/2/8,2346.4263,16.67
2017/2/9,2354.9009,16.72
2017/2/10,2368.1834,16.78
2017/2/13,2379.3057,16.85
2017/2/14,2373.5138,16.75
2017/2/15,2372.192,16.84
2017/2/16,2376.7626,16.78
2017/2/17,2362.7086,16.64
2017/2/20,2394.1201,16.91
2017/2/21,2396.8843,16.88
2017/2/22,2398.1922,16.75
2017/2/23,2387.4172,16.69
2017/2/24,2389.8774,16.71
2017/2/27,2370.5594,16.59
2017/2/28,2370.707,16.59
2017/3/1,2371.9252,16.56
2017/3/2,2354.9134,16.41
2017/3/3,2347.1456,16.35
2017/3/6,2349.8889,16.41
2017/3/7,2356.2933,16.43
2017/3/8,2358.074,16.39
2017/3/9,2346.5527,16.22
2017/3/10,2339.2339,16.23
2017/3/13,2354.8904,16.34
2017/3/14,2354.8998,16.26
2017/3/15,2357.3071,16.24
2017/3/16,2369.194,16.29
2017/3/17,2346.9602,16.2
2017/3/20,2350.0671,16.14
2017/3/21,2357.1359,16
2017/3/22,2338.5468,15.78
2017/3/23,2347.4342,15.88
2017/3/24,2365.6043,15.96
2017/3/27,2364.4277,16.04
2017/3/28,2356.3135,16.01
2017/3/29,2352.6937,15.87
2017/3/30,2346.6672,15.81
2017/3/31,2359.752,16.01
2017/4/5,2384.2636,16.16
2017/4/6,2390.3893,16.1
2017/4/7,2388.2714,16.1
2017/4/10,2379.1574,15.97
2017/4/11,2382.1093,15.89
2017/4/12,2378.8628,15.89
2017/4/13,2368.1061,15.75
2017/4/14,2355.5204,15.51
2017/4/17,2357.5233,15.56
2017/4/18,2337.3507,15.3
2017/4/19,2325.0424,15.11
2017/4/20,2335.6472,14.91
2017/4/21,2347.6745,15.05
